"# Study Name: 40 cycle data",,,,,,,,
"# Study Description: ",,,,,,,,
"# Study Comments: ",,,,,,,,
"# Created By: GUEST",,,,,,,,
"# Last Modified Date/Time: 05-13-2014 10:55:39 EDT",,,,,,,,
"# Number of Experiments in Study: 1",,,,,,,,
"# Instrument Type in the Study: QuantStudioﾙ 12K Flex Real-Time PCR System",,,,,,,,
"# Barcode: LJE04 ",,,,,,,,
"# Normalization Method: Endogenous Control = [U6 rRNA_001973  RNU44_001094  RNU48_001006]",,,,,,,,
"# Reference Sample: KW1_1B",,,,,,,,
"# Max CT: 40.0",,,,,,,,
"# Default CRT Analysis Start Cycle: 1.0",,,,,,,,
"# Efficiency:",,,,,,,,
"# RQ Min/Max Calculation: Confidence Level = 95.0% ",,,,,,,,
,,,,,,,,
"Experiment Name","Barcode","Well","Cycle Number","Sample Name","Target Name","Rn","dRn","Omit"
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",37,"KW3_1A","hsa-let-7a_000377",2995.237,1728.635,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",38,"KW3_1A","hsa-let-7a_000377",3039.69,1770.045,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",39,"KW3_1A","hsa-let-7a_000377",3083.663,1808.644,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C5g3",40,"KW3_1A","hsa-let-7a_000377",3087.856,1814.74,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",1,"KW9_1A","hsa-let-7a_000377",1186.821,41.364,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",2,"KW9_1A","hsa-let-7a_000377",1161.698,18.191,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",3,"KW9_1A","hsa-let-7a_000377",1167.479,18.01,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",4,"KW9_1A","hsa-let-7a_000377",1149.075,4.927,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",5,"KW9_1A","hsa-let-7a_000377",1174.017,22.146,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",6,"KW9_1A","hsa-let-7a_000377",1168.084,17.42,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",7,"KW9_1A","hsa-let-7a_000377",1154.1,5.35,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",8,"KW9_1A","hsa-let-7a_000377",1162.575,10.509,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",9,"KW9_1A","hsa-let-7a_000377",1167.176,11.857,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",10,"KW9_1A","hsa-let-7a_000377",1142.265,-8.041,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",11,"KW9_1A","hsa-let-7a_000377",1152.042,-2.21,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",12,"KW9_1A","hsa-let-7a_000377",1163.332,5.497,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",13,"KW9_1A","hsa-let-7a_000377",1146.896,-7.304,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",14,"KW9_1A","hsa-let-7a_000377",1151.951,-4.393,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",15,"KW9_1A","hsa-let-7a_000377",1164.906,7.794,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",16,"KW9_1A","hsa-let-7a_000377",1187.124,28.611,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",17,"KW9_1A","hsa-let-7a_000377",1213.094,55.639,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",18,"KW9_1A","hsa-let-7a_000377",1264.007,106.307,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",19,"KW9_1A","hsa-let-7a_000377",1346.914,189.345,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",20,"KW9_1A","hsa-let-7a_000377",1472.955,311.479,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",21,"KW9_1A","hsa-let-7a_000377",1609.377,446.794,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",22,"KW9_1A","hsa-let-7a_000377",1753.852,590.261,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",23,"KW9_1A","hsa-let-7a_000377",1905.137,739.079,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",24,"KW9_1A","hsa-let-7a_000377",2046.13,880.847,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",25,"KW9_1A","hsa-let-7a_000377",2194.963,1026.472,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",26,"KW9_1A","hsa-let-7a_000377",2326.482,1159.028,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",27,"KW9_1A","hsa-let-7a_000377",2461.664,1291.002,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",28,"KW9_1A","hsa-let-7a_000377",2575.355,1403.006,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",29,"KW9_1A","hsa-let-7a_000377",2658.928,1489.242,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",30,"KW9_1A","hsa-let-7a_000377",2751.037,1580.193,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",31,"KW9_1A","hsa-let-7a_000377",2848.806,1672.373,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",32,"KW9_1A","hsa-let-7a_000377",2901.202,1728.368,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",33,"KW9_1A","hsa-let-7a_000377",2957.048,1783.337,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",34,"KW9_1A","hsa-let-7a_000377",3016.527,1843.106,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",35,"KW9_1A","hsa-let-7a_000377",3092.503,1911.602,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",36,"KW9_1A","hsa-let-7a_000377",3113.388,1939.379,
"40cyc_LJE04_2013_07_31_093242.eds","LJE04","C9g3",37,"KW9_1A","hsa-let-7a_000377",3163.786,1984.989,
